cv,jd,satisfied
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1、协助市场负责人完成活动前期筹备工作；2、活动期间组建兼职团队、并带领队伍完成既定推广目标，宣传网校品牌，获取精准流量；3、收集本地行业信息，参与制定地区推广策略，开拓线下渠道；4、拜访教育行业相关客户，拓宽合作渠道；5、其他日常工作，有机会需要出差1、积极主动、外向健谈，良好的形象气质、及流畅的沟通能力；2、要性强，有强烈的成功及赚钱意识，吃苦耐劳，勇于挑战高薪；3、有地面推广及促销经验优先，能够胜任带领5人左右队伍完成目标；4、了解课外辅导行业、有教育相关资源优先；,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1.辅助课程主创团队收集或整理内容素材，参与课程研发工作2.根据课程内容，制作课程PPT、整理培训资料、撰写学习手册等。3.在教研经理的指导下，审阅并点评家庭教育老师的辅导案例，推动教学方案和辅导技术的落地和优化。4.参与家庭教育类心理测评的研发、实施、点评、解读和方案建议。1.就读或毕业于985、211院校；2.教育学、学前教育、心理学、应用心理学等专业；5.渴望从事家庭教育、儿童教育、心理辅导等领域的实践工作；6.工作积极主动，良好的沟通能力和逻辑思维能力，责任心强；7.文字功底扎实；8.熟练操作office等办公软件。,1
"善于记录学习情况和与人沟通,自学python并收获颇多,熟练运用excel,word,ppt等办公软件。大一上学期参加过院周精品活动的策划并为工作人员,收获一次经历和友谊;大一下学期报名参加全国大学生英语竞赛,数学竞赛等大型比赛,并获得数学竞赛三等奖。在沃凯科技教育公司担当家教老师,学生成绩提高明显,家长认可度高。大一暑假期间参加移动和联通公司校园代理的实习,并获得上级好评,收获颇多。大二期间在学校勤工助学岗位担当场馆协管,工作经验丰富,并积极参与培训。擅长运营微信公众号并做推送,学习能力强,乐于学习新知识新,乐观开朗,对待工作认真负责,踏实进取,认真完成各项任务,积极解决问题。",1、营销/品牌活动文案包装和撰写；2、优化采访提纲，配合采访产品用户；3、参与微博/知乎等新媒体官方号的日常运营；4、协助收集各产品渠道/活动营销文案。1、爱写文字，文风可逗比，可正经，可煽情；2、热爱互联网，微博、知乎重度使用者，微信大号的忠实读者；3、良好的沟通能力，英语好是加分项；5、投递请附文字作品或链接，包括但不限于已发表的新闻稿/微信文章/微博文案，或者个人在运营的社交媒体账号。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.05基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1.基于目标及相应功能诉求，结合人工智能框架的能力特点，设计和迭代产品功能；2.制定周期和进度把控，协调相关人员按时保质完成产品开发、测试和完善；3.通过对产品现状分析，优化产品策略，调整迭代方案。1.在校本科生/研究生，可以保证三个月及以上的实习期优先；2.执行力强，乐于接受新鲜事物；3.具备强烈的责任心和团队合作精神；4.有算法/数据分析/AI等技术或产品实习经验者优先。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.06基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1、负责深入用户了解其需求，优化用户体验，以及预测产品潜力；2、负责调研、沟通合作部门需求，确定产品定位，明确产品形态，制定产品规划，输出产品文档并驱动相关方落地产品方案。能根据产品上线后的效果发现问题，主动调优产品方向和持续优化。3、与交互和视觉设计师、开发、测试等团队紧密合作，驱动项目实施，达成产品目标。需负责从需求、原型、交互、文档、设计到终测试的全部流程的相关工作，并对质量和进度负责；4、协调跨部门之间的沟通，确保需求按质按量上线，并跟踪产品效果；5、配合产品相关的日常运营工作、产品运营数据分析等。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.07基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1.产品开发测试支持协助探索试验的实施，包括方案撰写、测试进度追踪、数据的处理和分析、总结报告协助安排药效登记试验，包括与第三方试验单位的沟通、测试进度追踪、报告审核。参与公司新产品项目，并提供产品技术方面的支持2.协助处理部门日常事务与测试相关的文件盖章、试验样品收发等,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.08基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1、参与商业化运营平台产品设计工作，能够完成简单需求的沟通和文档产出；2、通过数据分析、竞对调研、业务人员沟通等多种手段，深入理解业务场景，提出产品优化策略；3、协调相关各部门资源，推进产品需求落地，为结果负责。2、具备优秀的沟通能力和清晰的逻辑思维；3、具有强烈的进取心和责任心，有自驱精神，做事灵活、认真，实现有效推动的同时懂得团队协作；4、掌握SQL或Python分析工具优先。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.09基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",协助产品负责人完成以下工作内容1.产品内容设置（课时、定价、优惠等）2.教师管理（教师的招募、培训、分发和日常维护）3.数据记录（每周、月度、季度、年度数据收集和反馈）4.产品对接（进行跨部门和产品的沟通）5.产品宣传（产品内部和市场宣传）,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.10基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1、科学实验材料和玩具的开发、选题、创作、制作和测试；2、相关科学实验产品的信息收集、选材、对比和采购；3、编辑科学实验产品使用说明、原理和教案；4、定期分析科学实验产品数据，跟踪用户行为、收集用户反馈，规划产品升级，持续完善产品；5、设计科学课程体系，研发科学小实验线上课程和编写相关教学教案，确保原理和课程讲解的科学性和严谨性；理工科或有相关STEAM课程研发经验者优先；,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.11基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1、开发312岁儿童STEAM教育课程2、具有独立思考的能力，具有创新思维和意识。3、有科普/科学传播、教学、课程研发等经验者优先。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.12基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",协助设计一门面向大学生的《产品经理》课程。与岗位专家业界产品经理大咖and课程设计专家课程产品经理一起，制作面向大学生的产品经理的课程；担任课程产品经理角色完成教学辅助资料的设计和编写；在课程总监的指导下，完成相关专业课程设计工作；计算机科学与技术、软件工程、数主媒体技术、教育技术等专业同学，且热爱并认真钻研该专业课程的同学优先。,1
"专业熟练使用C++,SPSS、R语言以及SQC熟练使用Office办公软件、Photoshop。2020.12“学而思”网校实习负责学员与教师对接以及招生辅助工作,在半月内为学而思网校获取了十六名优秀学员。基于6LOWPAN网络能耗性能建模分析负责对基于超帧睡眠期的信道竞争机制进行Markov建模,对发送状态概率、信道检测冲突概率等网络参数和节点平均能耗进行数学分析,得到模型能较好描述和评价6LOWAPAN网络MAC协议,新机制降低了网络耗能,也改善了协议性能。(第十三届认证杯中国数学建模网络挑战赛获得优秀奖)2020.05大学生品牌消费心理问卷的编制及信效度检验负责编制大学生品牌消费心理的问卷责,获得数据后进行项目分析、数据筛选,利用SPSS12.0软件分析,用因素分析评估问卷的结构效度,评估问卷内部一致性信度,剔除无效数据。2019.13基于C语言的学生成绩管理系统设计设计学生成绩管理系统,通过利用结构体数组、指针、循环、函数、分支涵盖学生成绩数据。熟练掌握了C语言设计方法",1、根据项目规划，对所负责的项目内的需求进行分析、功能设计、业务流程设计、撰写产品PRD等文档及原型RP设计；2、能够跨部门协调和沟通，推动UI、开发、测试等人员紧密合作达成产品需求目标；3、跟踪分析产品上线后的反馈需求，对上线后的迭代需求进行评估、优化用户体验和功能，不断根据需求和用户反馈优化产品。2、能熟练使用Axure、office等软件工具，,1
